dataset,variant,run_id,split_strategy,use_sampling,full_threshold,sample_size,balance_min_frac,aknn_build_s,aknn_search_s,aknn_recall,update_build_s,update_insert_avg_s_per_item,update_final_recall
gist,mst_full_orig,3,mst,0,200,300,0.1,239.545700,0.003094,0.880000,243.257248,0.005625,0.889
gist,mst_full_1,1,mst,0,200,300,0.2,236.286621,0.003214,0.887000,240.679092,0.005104,0.884
gist,mst_full_1,2,mst,0,200,300,0.2,232.842697,0.002954,0.883000,239.921692,0.004896,0.871
gist,mst_full_1,3,mst,0,200,300,0.2,241.148392,0.003252,0.891000,241.341431,0.005231,0.878
gist,mst_full_2,1,mst,0,200,300,0.05,241.087738,0.003261,0.890000,240.461578,0.004931,0.886
gist,mst_full_2,2,mst,0,200,300,0.05,238.726410,0.003186,0.889000,241.062378,0.004963,0.882
gist,mst_full_2,3,mst,0,200,300,0.05,237.204224,0.002902,0.888000,241.155472,0.005572,0.873
gist,mst_full_3,1,mst,0,300,300,0.1,241.395889,0.002879,0.887000,242.316742,0.005052,0.889
gist,mst_full_3,2,mst,0,300,300,0.1,241.623993,0.002926,0.876000,238.695969,0.005488,0.877
gist,mst_full_3,3,mst,0,300,300,0.1,240.273697,0.003158,0.889000,240.336044,0.004953,0.888
gist,mst_full_4,1,mst,0,200,200,0.1,240.860825,0.003269,0.893000,239.507599,0.005458,0.894
gist,mst_full_4,2,mst,0,200,200,0.1,240.037186,0.002972,0.894000,240.124146,0.005350,0.888
gist,mst_full_4,3,mst,0,200,200,0.1,238.974762,0.003204,0.886000,,,0.886
gist,mst_sample_gist_1,1,mst,1,32,48,0.05,242.358200,0.003091,0.888000,236.780930,0.004995,0.879
gist,mst_sample_gist_1,2,mst,1,32,48,0.05,239.296982,0.003241,0.890000,240.133560,0.005031,0.884
gist,mst_sample_gist_1,3,mst,1,32,48,0.05,240.695496,0.003230,0.886000,239.044022,0.005467,0.89
gist,mst_sample_gist_2,1,mst,1,32,64,0.03,240.441360,0.002922,0.883000,241.358597,0.005053,0.89
gist,mst_sample_gist_2,2,mst,1,32,64,0.03,239.243042,0.002823,0.891000,243.727493,0.005013,0.881
gist,mst_sample_gist_2,3,mst,1,32,64,0.03,240.748459,0.003348,0.888000,233.876831,0.005093,0.89
gist,mst_sample_gist_3,1,mst,1,48,64,0.05,240.493896,0.002906,0.875000,240.608475,0.005100,0.888
gist,mst_sample_gist_3,2,mst,1,48,64,0.05,239.576370,0.002844,0.887000,240.192429,0.005285,0.891
gist,mst_sample_gist_3,3,mst,1,48,64,0.05,239.443192,0.002868,0.878000,239.479919,0.005567,0.885
gist,mst_sample_gist_4,1,mst,1,64,64,0.1,240.639221,0.002982,0.874000,239.508057,0.005479,0.878
gist,mst_sample_gist_4,2,mst,1,64,64,0.1,238.823761,0.002858,0.894000,237.812775,0.005330,0.871
gist,mst_sample_gist_4,3,mst,1,64,64,0.1,243.633484,0.002893,0.874000,241.660645,0.004911,0.894
sift,mst_full_orig,1,mst,0,200,300,0.1,39.046249,0.001006,0.980000,39.504211,0.001691,0.966
sift,mst_full_orig,2,mst,0,200,300,0.1,39.770256,0.001033,0.980000,39.875710,0.001680,0.97
